Student_ID;Maths_%;Physical_Sciences_%;Life_Sciences_%;English_%;School_Quintile;Home_Language;Socio_Economic_Background;Average_School_Score;First_Semester_Average_%;Second_Semester_Average_%;Modules_Enrolled;Modules_Passed;Success_Rate_%;Risk_Category;Dropout_Risk_Flag;STEM_Average;Home_Language_Encoded;Socio_Economic_Background_Encoded;Risk_Category_Encoded
SMU202500001;73;86;63;54;3;English;Middle Income Urban;69.0;69.4;77.3;9;9;100.0;Low Risk;0;74.0;0;4;0
SMU202500002;56;87;36;63;1;isiZulu;Middle Income Rural;60.5;76.9;79.6;12;8;66.7;Moderate Risk;1;59.7;6;3;1
SMU202500003;78;59;83;66;1;isiZulu;Middle Income Urban;71.5;61.0;51.5;11;11;100.0;Low Risk;0;73.3;6;4;0
SMU202500004;85;78;89;91;1;Setswana;Middle Income Urban;85.8;65.7;69.8;12;12;100.0;Low Risk;0;84.0;3;4;0
SMU202500005;94;48;84;48;2;isiZulu;Low Income Urban;68.5;65.9;59.6;11;11;100.0;Low Risk;0;75.3;6;2;0
SMU202500006;69;48;51;75;4;Tshivenda;Low Income Urban;60.8;62.4;68.6;9;8;88.9;Low Risk;0;56.0;4;2;0
SMU202500007;60;78;68;49;3;English;Middle Income Rural;63.8;65.4;66.0;11;9;81.8;Low Risk;0;68.7;0;3;0
SMU202500008;52;81;87;63;2;isiZulu;Low Income Rural;70.8;68.6;64.9;12;9;75.0;Low Risk;0;73.3;6;1;0
SMU202500009;59;41;43;63;2;English;Low Income Rural;51.5;69.1;58.8;10;8;80.0;Low Risk;0;47.7;0;1;0
SMU202500010;67;93;39;81;1;English;Low Income Rural;70.0;53.4;76.3;8;8;100.0;Low Risk;0;66.3;0;1;0
SMU202500011;57;58;71;74;2;Setswana;Middle Income Urban;65.0;69.0;67.8;8;8;100.0;Low Risk;0;62.0;3;4;0
SMU202500012;35;39;60;94;3;Xitsonga;Middle Income Urban;57.0;66.7;65.6;9;7;77.8;Low Risk;0;44.7;5;4;0
SMU202500013;66;38;64;76;2;Setswana;Low Income Urban;61.0;58.8;63.3;12;9;75.0;Low Risk;0;56.0;3;2;0
SMU202500014;76;79;91;92;4;isiZulu;Middle Income Rural;84.5;69.6;78.6;11;11;100.0;Low Risk;0;82.0;6;3;0
SMU202500015;89;62;59;78;2;Setswana;High Income Urban;72.0;69.9;71.6;8;8;100.0;Low Risk;0;70.0;3;0;0
SMU202500016;40;42;61;48;3;Sepedi;Low Income Rural;47.8;58.7;62.0;11;6;54.5;Moderate Risk;1;47.7;1;1;1
SMU202500017;86;83;83;91;3;Setswana;Low Income Urban;85.8;64.6;69.5;8;8;100.0;Low Risk;0;84.0;3;2;0
SMU202500018;35;53;36;92;5;English;Low Income Rural;54.0;63.8;62.0;11;8;72.7;Moderate Risk;1;41.3;0;1;1
SMU202500019;72;58;39;91;2;English;High Income Urban;65.0;67.0;59.2;8;7;87.5;Low Risk;0;56.3;0;0;0
SMU202500020;37;54;94;75;3;Setswana;Low Income Urban;65.0;57.6;71.9;11;9;81.8;Low Risk;0;61.7;3;2;0
SMU202500021;74;73;52;79;2;Xitsonga;Low Income Urban;69.5;72.7;58.3;9;9;100.0;Low Risk;0;66.3;5;2;0
SMU202500022;82;91;86;88;1;isiZulu;Low Income Urban;86.8;69.6;75.7;12;11;91.7;Low Risk;0;86.3;6;2;0
SMU202500023;75;69;53;87;4;Tshivenda;Middle Income Rural;71.0;62.1;71.4;8;8;100.0;Low Risk;0;65.7;4;3;0
SMU202500024;74;54;69;87;3;Sesotho;Low Income Urban;71.0;68.1;59.0;9;9;100.0;Low Risk;0;65.7;2;2;0
SMU202500025;69;50;75;75;2;Sesotho;Middle Income Urban;67.2;77.4;62.7;11;11;100.0;Low Risk;0;64.7;2;4;0
SMU202500026;51;67;82;51;3;Tshivenda;Low Income Rural;62.8;72.9;67.3;12;11;91.7;Low Risk;0;66.7;4;1;0
SMU202500027;68;55;64;72;3;Sesotho;Middle Income Urban;64.8;59.1;76.6;11;11;100.0;Low Risk;0;62.3;2;4;0
SMU202500028;83;51;78;67;2;Tshivenda;Low Income Rural;69.8;70.7;52.3;10;10;100.0;Low Risk;0;70.7;4;1;0
SMU202500029;69;94;67;91;2;English;Low Income Rural;80.2;59.5;64.8;8;8;100.0;Low Risk;0;76.7;0;1;0
SMU202500030;76;65;88;42;1;English;Middle Income Urban;67.8;59.4;60.1;9;9;100.0;Low Risk;0;76.3;0;4;0
SMU202500031;51;74;67;48;2;Sesotho;Middle Income Urban;60.0;70.0;72.0;9;7;77.8;Low Risk;0;64.0;2;4;0
SMU202500032;58;47;94;46;4;Xitsonga;Low Income Rural;61.2;53.3;83.8;11;10;90.9;Low Risk;0;66.3;5;1;0
SMU202500033;56;85;59;61;1;isiZulu;Middle Income Urban;65.2;62.2;76.7;9;7;77.8;Low Risk;0;66.7;6;4;0
SMU202500034;67;42;87;83;2;Tshivenda;High Income Urban;69.8;64.3;58.9;12;12;100.0;Low Risk;0;65.3;4;0;0
SMU202500035;89;74;86;55;3;Tshivenda;High Income Urban;76.0;63.0;77.1;10;10;100.0;Low Risk;0;83.0;4;0;0
SMU202500036;89;60;71;65;4;Xitsonga;High Income Urban;71.2;58.6;67.5;11;11;100.0;Low Risk;0;73.3;5;0;0
SMU202500037;81;68;66;93;3;Sesotho;Middle Income Urban;77.0;85.0;78.3;8;8;100.0;Low Risk;0;71.7;2;4;0
SMU202500038;37;46;60;55;1;Sesotho;Low Income Urban;49.5;67.3;71.9;11;7;63.6;Moderate Risk;1;47.7;2;2;1
SMU202500039;60;82;55;78;2;Sesotho;Low Income Rural;68.8;78.1;78.4;9;8;88.9;Low Risk;0;65.7;2;1;0
SMU202500040;86;65;44;58;4;Sesotho;Low Income Rural;63.2;64.4;68.5;12;11;91.7;Low Risk;0;65.0;2;1;0
SMU202500041;54;58;46;89;1;Sesotho;Middle Income Urban;61.8;69.2;76.8;10;8;80.0;Low Risk;0;52.7;2;4;0
